security_id,market,ticker,end_month,case_id,name
SEDOL:611112,UK,MUT,2021-02,SEDOL:BLP57Y9,Murray Income Trust
SEDOL:580007,UK,MRCH,2021-02,SEDOL:BSTK642,Merchants Trust
NAME:bankers|ordinary share,UK,BNKR,2021-02,SEDOL:BZ6CSD3,Bankers Investment Trust
SEDOL:610841,UK,SCP,2021-03,SEDOL:358572,Schroder UK Mid Cap Fund
SEDOL:B01RDH7,UK,BRGE,2021-04,SEDOL:B05NYM3,BlackRock Greater Europe
SEDOL:B95CGW7,UK,THRL,2021-06,SEDOL:B2QQPS8,Target Healthcare REIT
SEDOL:558167,UK,AATG,2021-06,SEDOL:B2QQPT9,Albion Technology & General VCT
NAME:aberforth smaller companies|ordinary share,UK,ASL,2021-06,SEDOL:BMC7TN8,Aberforth Smaller Companies
SEDOL:341710,UK,JUSC,2021-08,SEDOL:0482943,JPMorgan US Smaller Companies
SEDOL:B01HM14,UK,SREI,2021-08,SEDOL:B13YVW4,Schroder Real Estate
SEDOL:579403,UK,MRC,2021-08,SEDOL:BN56JF1,Mercantile Investment Trust
SEDOL:BF50VS4,UK,AIE,2021-08,SEDOL:BYMJ7X4,Ashoka India Equity
SEDOL:BDFGHW4,UK,USA,2021-08,SEDOL:BYMK5S8,Baillie Gifford US Growth
SEDOL:422002,UK,PCT,2021-08,SEDOL:BZ184P0,Polar Capital Technology
SEDOL:291633,UK,EWI,2021-09,SEDOL:B03KMY4,Edinburgh Worldwide
SEDOL:B01WL23,UK,GHV2,2021-09,SEDOL:B0WCHT1,Gresham House Income & Growth 2 VCT
SEDOL:0465825,UK,INV,2021-09,SEDOL:B3KVC41,The Investment Company
SEDOL:BJM0293,UK,ORIT,2021-09,SEDOL:B3WQ8G8,Octopus Renewables Infrastructure Trust
SEDOL:BJ0CDD2,UK,MNTN,2021-09,SEDOL:BFXW773,Schiehallion Fund
SEDOL:BF0D1M2,UK,EJFI,2021-09,SEDOL:BFXW784,EJF Investments
SEDOL:791586,UK,SCF,2021-09,SEDOL:BQVBS54,Schroder Income Growth Fund
SEDOL:346340,UK,BASC,2021-09,SEDOL:BW4NWS0,Brown Advisory US Smaller Companies
SEDOL:422864,UK,HRI,2021-10,NAME:aberdeen new thai|ordinary share,Herald Investment Trust
SEDOL:B9G79F5,UK,CVCE,2021-10,SEDOL:B43GVJ8,CVC Income & Growth
SEDOL:174002,UK,JFJ,2021-10,SEDOL:B4M2G81,JPMorgan Japanese
SEDOL:645070,UK,NVT,2021-10,SEDOL:BNG2HN2,Northern Venture Trust
SEDOL:BJ0CDD2,UK,MNTN,2021-11,SEDOL:B8460Z4,Schiehallion Fund
SEDOL:B1Z2SL4,UK,CRS,2021-12,SEDOL:308544,Crystal Amber Fund
SEDOL:B0JQZZ8,UK,OSEC,2022-01,SEDOL:B17XWW4,Octopus AIM VCT 2
SEDOL:341895,UK,JMGI,2022-01,SEDOL:BCKFVJ4,JPMorgan Emerging Markets Growth & Income
SEDOL:791586,UK,SCF,2022-02,SEDOL:BXDZMK6,Schroder Income Growth Fund
SEDOL:453530,UK,IAD,2022-04,SEDOL:BF8NW87,Invesco Asia Dragon Trust
SEDOL:B9MRHZ5,UK,CVCG,2022-04,SEDOL:BMGWM18,CVC Income & Growth
SEDOL:454351,UK,MTE,2022-05,SEDOL:BDR0575,Montanaro European Smaller Companies
SEDOL:BJ0CDD2,UK,MNTN,2022-05,SEDOL:BYSJJR6,Schiehallion Fund
SEDOL:338530,UK,WWH,2022-07,SEDOL:782609,Worldwide Healthcare Trust
NAME:biotech growth|ordinary share,UK,BIOG,2022-08,SEDOL:B640GZ4,Biotech Growth Trust
SEDOL:580007,UK,MRCH,2022-08,SEDOL:BD0FRW6,Merchants Trust
SEDOL:291633,UK,EWI,2022-08,SEDOL:BYT2554,Edinburgh Worldwide
SEDOL:BN7JZR2,UK,SBO,2022-09,SEDOL:1610132,Schroder British Opportunities
SEDOL:906692,UK,ESCT,2022-10,NAME:independent investment trust|ordinary share,The European Smaller Companies Trust
SEDOL:B17B347,UK,OAP3,2022-10,SEDOL:BDG12N4,Octopus Apollo VCT
SEDOL:B043QW8,UK,MAV4,2022-10,SEDOL:BGSH2G4,Maven Income and Growth VCT 4
SEDOL:BN7JZR2,UK,SBO,2022-10,SEDOL:BLSNND1,Schroder British Opportunities
SEDOL:BYR8GK6,UK,3IN,2022-10,SEDOL:BNCBFH3,3i Infrastructure
SEDOL:BFFK7H5,UK,OIT,2022-11,SEDOL:3408009,Odyssean Investment Trust
SEDOL:291633,UK,EWI,2022-11,SEDOL:3408021,Edinburgh Worldwide
SEDOL:BK1WV90,UK,EJFZ,2022-11,SEDOL:505840,EJF Investments
SEDOL:741600,UK,JUGI,2022-11,SEDOL:852814,JPMorgan UK Small Cap Growth & Income
SEDOL:BJHPS39,UK,RCOI,2022-12,SEDOL:BLNNFZ2,Riverstone Credit Opportunities Income
