ticker,month,label,unit,truth,n_matching_labels,matched,nearest_label,nearest_value,nearest_unit,nearest_ratio,split,announcement_id
PCI,2025-07,,,1.096,0,False,at close of business on nta per unit,1.101,dollars,1.0045620437956204,holdout,02971898
PIA,2025-07,,,1.4576,0,False,pia pengana international equities limited pengana com pia acn,1.07,cents,0.7340834248079035,holdout,02971824
LSF,2025-07,,,3.3228,0,False,were nta per ordinary share nta before tax,3.332,dollars,1.0027687492476225,learn,02971690
LSF,2025-07,,,3.3228,0,False,were nta per ordinary share nta before tax,3.3337,dollars,1.0032803659564222,learn,02971267
ARG,2025-07,j uly j uly pre tax nta per share,dollars,10.74,1,True,,,,,learn,02971093
AMH,2025-07,,,1.32,0,False,pre tax nta per share,1.31,dollars,0.9924242424242424,learn,02971024
KKC,2025-07,,,2.4444,0,False,current nta estimate,2.4548,dollars,1.0042546228113238,learn,02970965
PGF,2025-07,,,2.539,0,False,nta before tax accruals,2.51,dollars,0.9885781803859786,learn,02970952
FPC,2025-07,,,1.5825,0,False,fund as at th amount pre tax nta,1.5772,dollars,0.996650868878357,learn,02970462
QRI,2025-07,asx qri performance update unit m m,dollars,1.6003,1,True,,,,,holdout,02970190
PCI,2025-07,,,1.096,0,False,at close of business on nta per unit,1.099,dollars,1.0027372262773722,holdout,02969821
LSF,2025-07,,,3.3228,0,False,were nta per ordinary share nta before tax,3.352,dollars,1.0087877693511496,learn,02969622
