period,horizon_months,feature,value,is_silent,n,resolved,rate,base_rate,lift,z_vs_rest,universe
development,18,going_concern_language,material_uncertainty,False,13,13,1.0,0.9562043795620438,1.045801526717557,0.7906179700650665,documented
development,18,going_concern_language,none,True,261,249,0.9540229885057471,0.9562043795620438,0.9977186979029568,-0.7906179700650665,documented
development,18,distribution_stance,cut,False,14,14,1.0,0.9562043795620438,1.045801526717557,0.8220393413956008,documented
development,18,distribution_stance,increased,False,7,7,1.0,0.9562043795620438,1.045801526717557,0.5735993468029013,documented
development,18,distribution_stance,maintained,False,186,186,1.0,0.9562043795620438,1.045801526717557,5.150274714245823,documented
development,18,distribution_stance,none,True,44,32,0.7272727272727273,0.9562043795620438,0.7605829285218598,-8.09939982869166,documented
development,18,distribution_stance,suspended,False,23,23,1.0,0.9562043795620438,1.045801526717557,1.072364222358525,documented
holdout_2022+,6,discount_stance,acknowledged,False,74,28,0.3783783783783784,0.3754646840148699,1.0077602354830077,0.06079328904454611,documented
holdout_2022+,6,discount_stance,action_promised,False,28,15,0.5357142857142857,0.3754646840148699,1.4268033946251768,1.850037558809359,documented
holdout_2022+,6,discount_stance,action_taken,False,94,44,0.46808510638297873,0.3754646840148699,1.2466821150200127,2.2991364771933727,documented
holdout_2022+,6,discount_stance,not_mentioned,True,73,14,0.1917808219178082,0.3754646840148699,0.5107825851078258,-3.7967979713451796,documented
holdout_2022+,6,buyback_commitment,active_programme,False,111,52,0.46846846846846846,0.3754646840148699,1.2477031486932477,2.6402597746760343,documented
holdout_2022+,6,buyback_commitment,authority_only,False,76,30,0.39473684210526316,0.3754646840148699,1.0513288170922357,0.4096109740018587,documented
holdout_2022+,6,buyback_commitment,none,True,72,19,0.2638888888888889,0.3754646840148699,0.7028327832783279,-2.2846318018323557,documented
holdout_2022+,6,buyback_commitment,specific_target,False,10,0,0.0,0.3754646840148699,0.0,-2.498804641600015,documented
holdout_2022+,6,continuation_vote,contingent_trigger,False,10,6,0.6,0.3754646840148699,1.598019801980198,1.4943346569568408,documented
holdout_2022+,6,continuation_vote,failed,False,1,0,0.0,0.3754646840148699,0.0,-0.776809966617295,documented
holdout_2022+,6,continuation_vote,none,True,176,57,0.32386363636363635,0.3754646840148699,0.8625675067506751,-2.404287901449305,documented
holdout_2022+,6,continuation_vote,passed,False,24,10,0.4166666666666667,0.3754646840148699,1.1097359735973598,0.43677099070153835,documented
holdout_2022+,6,continuation_vote,scheduled,False,58,28,0.4827586206896552,0.3754646840148699,1.2857630590645273,1.9052897956633814,documented
holdout_2022+,6,winddown_path,in_progress,False,16,7,0.4375,0.3754646840148699,1.1652227722772277,0.5283866321401007,documented
