AIC,Name,Type,MonthEnd,Code,TA,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthendMidPrice,CurrYrRev,Rev (splits only),Rev (splits only),Shares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolderFunds for share,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,Additional geographic,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,AIC Cat 2,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,FootNote,FairValue,ShareNote
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other , , , , , , , ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Private Equity,Mithras,Ordinary Share,31/01/2007,596286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Northern Investors,Ordinary Share,31/01/2007,B08S4K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Pantheon International Participations,Ordinary Share,31/01/2007,414850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Prelude Trust,Ordinary Share,31/01/2007,699248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Private Equity Investor,Ordinary Share,31/01/2007,50403,82407813,0,0,0,0,0,0,0,0,169,379036,,,50000000,0,0,0,N/A,38,100,62,,N,82407813,164.82,,,,,165.57,,,,,164.82,,,,,165.57,,,,,0,38,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,
Private Equity,Rutland Trust,Ordinary Share,31/01/2007,486912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,SVG Capital,Ordinary Share,31/01/2007,789235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Standard Life European Private Equity,Ordinary Share,31/01/2007,3047468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note
Property,F&C Commercial Property,Ordinary Share,31/01/2007,B05KL90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property,Henderson Global Property Companies,Ordinary Share,31/01/2007,B17MXW8,52374918,8988382,8988382,8988382,8988382,0,0,0,8988382,113.75,0,,,37500000,0,0,0,N/A,0,121,,,Y,43386536,115.7,,,,,,,,,,115.7,,,,,,,,,,0,0,0,44,24,0,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,
Property,ING UK Real Estate Income,Ordinary Share,31/01/2007,B0LCW20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property,Invista Foundation Property,Ordinary Share,31/01/2007,B01HM14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property,Standard Life Investments Property Income,Ordinary Share,31/01/2007,3387528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property,TR Property,Ordinary Share,31/01/2007,906409,1059130000,118339233,125254996,118339233,125254996,0,0,0,118339233,246.5,6907210,,,343850000,0,0,0,N/A,-1,113,,,Y,940790767,273.6,,,,,275.61,,,,,271.59,,,,,273.6,,,,,0,-1,63,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,"11.5% Deb = ú15m*138.225 (per daily official list)
8.125% Deb = ú10m*103.996(per daily official list)
8.125% Deb = ú15m*103.996(per daily official list)

"
Property,Vinaland,Ordinary Share,31/01/2007,B0WHX65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note
"Sector Specialist: Small Media, Comms & IT Cos",Herald,Ordinary Share,31/01/2007,422864,401165064,20000000,20000000,20000000,20000000,0,0,0,20000000,392.5,0,,,87556010,0,0,0,N/A,3,105,,,N,381165064,435.34,,,,,,,,,,435.34,,,,,,,,,,1.2,3,67,6,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Cash/ cash equiv,Bonds ,UK Equity x IC,Int. Equities,SC Inc Shares,SC Ord Inc Shares,Other SC & ICs,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,Cash & Fixed Int.,UK listed,UK unlisted,Cont.Eur listed,Cont.Eur unlisted,US listed,US unlisted,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note
Split Capital Trust,Aberdeen Development Capital,ZDP 2010,31/01/2007,B08P0H3,0,0,0,0,0,0,0,0,0,103.75,0,,0,8750000,0,0,0,N/A,0,0,,,,9670973,110.53,,,,,,,,,,110.53,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,PE,,,,,,,,,,,,
Split Capital Trust,Aberdeen Development Capital,ZDP 2012,31/01/2007,B08P147,0,9670973,9670973,0,0,9670973,0,0,0,102.25,0,,0,8750000,0,0,0,N/A,0,0,,,,9670848,110.52,,,,,,,,,,110.52,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,PE,,,,,,,,,,,,
Split Capital Trust,Aberdeen Development Capital,Ordinary Income,31/01/2007,735250,30716682,19341821,19341821,0,0,19341821,0,0,19341821,21.75,-532355,1238902,0,36919225,0,0,0,N/A,18,270,99,Y,Y,11374861,,,,,,29.37,,,,,,,,,,29.37,,,,,3.57,18,82,0,0,0,0,0,18,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,1,81,0,0,0,0,PE,Aberdeen Development (Units),0,0,0,270,,,,,,,
Split Capital Trust,Aberforth Geared Capital & Income,Income,31/01/2007,3110003,0,32896916,32896916,32896916,32896916,0,0,0,0,119.5,45993,,100,24500000,0,0,0,N/A,0,0,,,,19924450,81.32,,,,,81.51,,,,,81.32,,,,,81.51,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,USC,,,,,,,,,,,,
Split Capital Trust,Aberforth Geared Capital & Income,Capital,31/01/2007,3110014,135878583,52821366,52821366,32896916,32896916,19924450,0,0,52821366,581,0,917196,0,10500000,0,0,0,N/A,-2,164,0,,N,83057217,791.02,,,,,,,,,,791.02,,,,,,,,,,2.79,-2,102,0,0,0,0,0,-2,0,102,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,d,-2,0,43,55,4,0,0,USC,,,,,,,,,,,"Dividend of 5.9p per Income Share, ex-d on 31/1/07, record 2/2/07 and payable on 22/2/07",Fair value and Par value are not materially different,
Split Capital Trust,Ecofin Water & Power Opportunities,Income,31/01/2007,3132632,0,143700225,143700225,143700225,143700225,0,0,0,0,109.25,1426623,0,0,32423253,0,0,0,N/A,0,0,,,,28432403,87.69,,,,,92.09,,,,,87.69,,,,,92.09,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,SSU,,,,,,,,,,,,,
Split Capital Trust,Ecofin Water & Power Opportunities,Ordinary Income,31/01/2007,B09LK25,0,172132628,172132628,143700225,143700225,28432403,0,0,0,179.25,6864059,0,100,182552352,61250960,0,0,N/A,0,0,,,,360469960,169.02,,,,,171.9,,,,,169.02,,,,,171.9,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,SSU,,,,,,,,,,,"ç
                                                                              ç
                                                                              ç
",,"On 11th January 2007 61,250,960 new shares were listed on the London Stock Exchange, at a price of 176.6620p.  Total proceeds received from the issue amounted to ú108,207,170.96."
Split Capital Trust,Ecofin Water & Power Opportunities,Capital,31/01/2007,3132643,585038208,532602588,532602588,143700225,143700225,388902363,0,0,532602588,576,0,1710914,0,19282142,0,0,0,N/A,-1,1116,,,Y,52435620,662.46,,,,,,,,,,662.46,,,,,,,,,,3.5,-1,26,47,21,2,4,1,-3,2,26,75,0,0,0,294,-166,-22,0,0,-6,23,48,22,2,4,1,,0,0,0,0,0,0,0,SSU,,,,,,,,,,,"ç
                                                                              ç
                                                                              ç
",,
Split Capital Trust,Edinburgh New Income,ZDPs,31/01/2007,B084LV1,0,0,0,0,0,0,0,0,0,115.5,0,,0,15166618,0,0,0,N/A,0,0,,,,16715193,110.21,,,,,,,,,,110.21,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UGI,,,,,,,,,,,,,
Split Capital Trust,Edinburgh New Income,Ordinary Income,31/01/2007,B084LP5,45782804,16715193,16715193,0,0,16715193,0,0,16715193,135.5,474287,216556,100,20519056,0,0,0,N/A,8,158,,,,29067611,141.66,,,,,143.97,,,,,141.66,,,,,143.97,,,,,4,8,92,0,0,0,0,0,8,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,56,20,16,0,0,0,UGI,Edinburgh New Income Units,0,535.2,535.19,100,,,,,,,,
Split Capital Trust,European Utilities,ZDPs,31/01/2007,476128,0,3438483,3415221,3438483,3415221,0,0,0,0,322.5,0,,0,3275000,0,0,0,N/A,0,0,,,,9758578,297.97,,,,,,,,,,297.97,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,SSU,,,,,,,,,,,,,
Split Capital Trust,European Utilities,Ordinary Income,31/01/2007,476117,38059022,13197061,13173799,3438483,3415221,9758578,0,0,13197061,243.75,149768,149768,100,9052500,0,0,0,N/A,8,153,,,N,24861961,274.64,,,,,276.3,,,,,274.9,,,,,276.55,,,,,2.47,8,28,64,0,0,0,0,8,0,28,64,0,0,0,99,1,0,0,0,0,99,1,0,0,0,0,/,0,0,0,0,0,0,0,SSU,,,,,,,,,,,,"'Fair value has been estimated using a discounted cash flow model utilising the rate of interest which would be paid if debt with the same terms and conditions were taken out today'.

",
Split Capital Trust,Framlington Income & Capital,Income,31/01/2007,633310,0,32802029,33871870,32802029,33871870,0,0,0,0,40.75,729423,,100,39134832,0,0,0,N/A,0,0,,,,12135367,31.01,,,,,32.87,,,,,31.01,,,,,32.87,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UGI,,,,,,,,,,,,,
Split Capital Trust,Framlington Income & Capital,Capital,31/01/2007,633354,116360698,44937396,46007237,32802029,33871870,12135367,0,0,44937396,264.5,0,394917,0,24830091,0,0,0,N/A,4,163,0,,N,71423302,287.65,,,,,,,,,,283.34,,,,,,,,,,3.51,4,94,2,0,0,0,0,4,0,92,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,4,56,29,7,0,2,2,UGI,,,,,,,,,,,,Fair Value of Debenture at quoted market price. Fair Value of Bank Loans estimated at discounted value of future cash flows.,
Split Capital Trust,INVESCO Leveraged High Yield,Ordinary Income,31/01/2007,B05NYM3,86745636,34757561,34757561,34757561,34757561,0,0,0,34757561,109.75,0,,,48661775,0,0,0,N/A,97,167,0,,Y,51988075,106.84,,,,,,,,,,106.84,,,,,,,,,,6.1,97,1,1,1,0,0,0,9,88,0,3,0,0,0,37,50,13,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,GHI,,,,,,,,,,,,FV of REPO contracts considered not materially different to PAR,
Split Capital Trust,Invesco Perpetual Recovery 2011,ZDPs,31/01/2007,B0LNNV9,0,0,0,0,0,0,0,0,0,107.25,0,,,19610250,0,0,0,N/A,0,0,,,,21039928,107.29,,,,,,,,,,107.29,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UGI,,,,,,,,,,,,,
Split Capital Trust,Invesco Perpetual Recovery 2011,Ordinary Income,31/01/2007,B0LNMX4,44934540,21039928,21039928,0,0,21039928,0,0,21039928,133.5,0,,,16044750,0,0,0,N/A,17,188,0,,Y,23894612,148.92,,,,,,,,,,148.92,,,,,,,,,,3.9,17,83,0,0,0,0,0,15,2,83,0,0,0,0,90,10,0,0,0,0,0,0,0,0,0,0,,17,58,12,13,0,0,0,UGI,INVESCO Perp Recovery 2011 Uts,377799,2520.52,2520.47,100,,,,,,,,
Split Capital Trust,Investec High Income,ZDPs,31/01/2007,3019779,0,14600000,14600000,14600000,14600000,0,0,0,0,170,0,,0,8400000,0,0,0,N/A,0,0,,,,13736161,163.53,,,,,,,,,,163.53,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UKH,,,,,,,,,,,,,
Split Capital Trust,Investec High Income,Ordinary Income,31/01/2007,3019746,56011078,28336161,28336161,14600000,14600000,13736161,0,0,28336161,93.5,-209093,599954,100,28000000,0,0,0,N/A,5,202,,,N,27674917,98.84,,,,,98.09,,,,,98.84,,,,,98.09,,,,,3.83,5,95,0,0,0,0,0,3,2,79,0,2,6,8,100,0,0,0,0,0,100,0,0,0,0,0,d,3,2,79,0,2,6,8,UKH,,,,,,,,,,,,The fair value is not materially different from the par value.,
Split Capital Trust,Investors Capital,ZDPs,31/01/2007,3050949,0,105000000,105099061,105000000,105099061,0,0,0,0,52,0,,0,251282051,0,0,0,N/A,0,0,,,,130975552,52.12,,,,,,,,,,52.12,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UGI,,,,,,,,,,,,,
Split Capital Trust,Investors Capital,Income,31/01/2007,3050961,0,235975552,236074613,105000000,105099061,130975552,0,0,0,35.5,0,,100,251282051,0,0,0,N/A,0,0,,,,86686677,34.5,,,,,,,,,,34.46,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UGI,,,,,,,,,,,,
Split Capital Trust,Investors Capital,Capital,31/01/2007,3050972,322662229,322662229,322761290,105000000,105099061,217662229,0,0,322662229,0.03,0,6266000,0,251282051,0,0,0,N/A,36,0,0,,N,0,0,,,,,,,,,,0,,,,,,,,,,4.9,36,64,0,0,0,0,0,15,21,64,0,0,0,0,85,8,7,0,0,0,100,0,0,0,0,0,,36,56,8,0,0,0,0,UGI,Investors Capital Grd Uts,251282051,34.5,34.46,372,Investors Capital Pkg Uts,251282051,86.62,86.58,148,,Fair values were calculated as supplied by lender - calculated on a marked to market basis.
Split Capital Trust,JPMorgan Income & Capital,ZDPs,31/01/2007,3073203,0,0,0,0,0,0,0,0,0,145.25,1843760,,,65085982,0,0,0,N/A,0,0,,,,92107653,141.52,,,,,144.35,,,,,141.52,,,,,144.35,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UGI,,,,,,,,,,,,
Split Capital Trust,JPMorgan Income & Capital,Ordinary Income,31/01/2007,3073184,197046510,92107653,92107653,0,0,92107653,0,0,92107653,141,1843760,,,71543900,0,0,0,N/A,13,188,,,N,104938857,146.68,,,,,149.25,,,,,146.68,,,,,149.25,,,,,3.35,13,87,0,0,0,0,0,13,0,87,0,0,0,0,24,76,0,0,0,0,0,0,0,0,0,0,,13,42,23,22,0,0,0,UGI,JPMorgan Income & Capital Uts,13869306,434.87,434.88,100,,,,,,,
Split Capital Trust,JPMorgan Income & Growth,Income,31/01/2007,B1G3N11,0,24694043,24694043,24694043,24694043,0,0,0,0,107.5,0,,,62617803,0,0,0,N/A,0,0,,,,64746808,103.4,,,,,,,,,,103.4,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UGI,,,,,,,,,,,,
Split Capital Trust,JPMorgan Income & Growth,Capital,31/01/2007,B1G3N00,117356099,89440851,89440851,24694043,24694043,64746808,0,0,89440851,49,0,,,62617803,0,0,0,N/A,0,420,,,,27915248,44.58,,,,,,,,,,44.58,,,,,,,,,,4.29,0,99,1,0,0,0,0,0,0,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60,30,0,0,10,0,UGI,JPMorgan Income & Growth Units,19394387,147.98,147.98,127,,,,,,,
Split Capital Trust,JZ Equity Partners,ZDPs,31/01/2007,721163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Capital Trust,JZ Equity Partners,Ordinary Income,31/01/2007,290481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Capital Trust,Jupiter Second Enhanced Income,ZDPs,31/01/2007,B02WRW4,0,0,0,0,0,0,0,0,0,71.25,0,,,62822084,0,0,0,N/A,0,0,,,,43343908,68.99,,,,,,,,,,68.99,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UGI,,,,,,,,,,,,
Split Capital Trust,Jupiter Second Enhanced Income,Ordinary Income,31/01/2007,B02WRR9,87072331,43343908,43343908,0,0,43343908,0,0,43343908,63,979134,,,62822084,0,0,0,N/A,1,199,,,Y,43728423,69.61,,,,,71.17,,,,,69.61,,,,,71.17,,,,,3.7,1,96,3,0,0,0,0,0,1,96,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UGI,Jupiter Second Enhanced Pkg Ut,0,138.6,138.6,100,,,,,,,
Split Capital Trust,M&G Equity,ZDPs,31/01/2007,551092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Capital Trust,M&G Equity,Income,31/01/2007,551199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Capital Trust,M&G Equity,Capital,31/01/2007,551166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Capital Trust,M&G High Income,ZDPs,31/01/2007,553322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Capital Trust,M&G High Income,Income,31/01/2007,553281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Capital Trust,M&G High Income,Capital,31/01/2007,553270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Capital Trust,M&G Recovery,ZDPs,31/01/2007,3119390,0,27935113,27977374,27935113,27977374,0,0,0,0,48.5,0,,0,194868561,0,0,0,N/A,0,0,,,,91918970,47.17,,,,,,,,,,47.17,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UGI,,,,,,,,,,,,
Split Capital Trust,M&G Recovery,Ordinary Income,31/01/2007,3119389,204565878,119854083,119896344,27935113,27977374,91918970,0,0,119854083,34.25,2126021,1114364,100,238904266,0,0,0,N/A,22,241,,,,84711795,35.46,,,,,36.35,,,,,35.44,,,,,36.33,,,,,4.05,22,78,0,0,0,0,0,1,21,78,0,0,0,0,78,0,0,0,0,22,100,0,0,0,0,0,,22,63,14,1,0,0,0,UGI,M&G Recovery Inv Co Pkg Uts,0,118.09,118.05,116,,,,,,,
Split Capital Trust,Martin Currie Income & Growth,ZDPs,31/01/2007,567000,0,6200000,6200952,6200000,6200952,0,0,0,0,217,0,,0,33135032,0,0,0,N/A,0,0,,,,71759304,216.57,,,,,,,,,,216.57,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UGI,,,,,,,,,,,,
Split Capital Trust,Martin Currie Income & Growth,Income,31/01/2007,568724,0,77959304,77960256,6200000,6200952,71759304,0,0,0,97.25,728622,,100,37276911,0,0,0,N/A,0,0,,,,37438330,100.43,,,,,102.39,,,,,100.43,,,,,102.39,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UGI,,,,,,,,,,,,
Split Capital Trust,Martin Currie Income & Growth,Capital,31/01/2007,568809,117080243,115397634,115398586,6200000,6200952,109197634,0,0,115397634,28,0,801814,0,12425637,0,0,0,N/A,1,6958,0,,N,1682609,13.54,,,,,,,,,,13.53,,,,,,,,,,3.08,1,99,0,0,0,0,0,1,0,98,0,0,0,1,100,0,0,0,0,0,100,0,0,0,0,0,,1,79,16,3,0,1,0,UGI,,,,,,,,,,,,Net present value of future cash flows.
Split Capital Trust,Premier Utilities,ZDPs,31/01/2007,3353820,0,0,0,0,0,0,0,0,0,130.5,0,,,19143433,0,0,0,N/A,0,0,,,,23846023,124.57,,,,,,,,,,124.57,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,SSU,,,,,,,,,,,,
