FundName,SEDOL(conv),Prior Charge,PCType,RepayType,Coupon,Fixed,% to Cap,CCY,Issued,IssuedValue,IssuedValGBP,CurrentValue,FairValue,RedValue,Notes,RedeemedFlag NIL
Investors Capital,3050972,Royal Bank of Scotland,L,N,6.49,,70,GBP,25/06/2001,105000000,105000000,105000000,105099061,105000000,,F
JPMorgan American,846505,6.875% SECURED BOND  8/5/2018,D,N,6.875,,0,GBP,,50000000,50000000,49666189,53795070,0,,F
JPMorgan Asian,132077,FIXED LOAN,L,N,5.07,,,GBP,,0,0,15326453,15326453,0,,F
JPMorgan Asian,132077,OVERDRAFT,L,N,,,,GBP,,0,0,159474,159474,0,,F
JPMorgan Chinese,343501,OVERDRAFT,L,N,,,,GBP,,0,0,5453134,5453134,0,,F
JPMorgan Elect Managed Cash,3408009,OVERDRAFT,L,N,,,,GBP,,0,0,513780,513780,0,,F
JPMorgan European Fledgeling,341969,OVERDRAFT,L,N,,,,GBP,,0,0,48340842,48340842,0,,F
JPMorgan European Growth,B18JK16,FIXED LOAN 2009,L,N,2.48,,,EUR,03/09/1999,12400000,12400000,8231928,9266418,0,"EURO 12,400,000",F
JPMorgan European Growth,B18JK16,FRN 2011,L,N,3.48,,,EUR,,100000000,0,65672495,68427536,0,"EURO 100,000,000",F
JPMorgan European Income,B17XWW4,FLOATING RATE LOAN AIB,L,N,3.627,,,EUR,29/08/2006,22600000,0,15003354,15003354,0,"EURO 22,600,000",F
JPMorgan Fleming Claverhouse,342218,DEBENTURE STOCK 2020,D,N,7,,65,GBP,,0,0,29636869,32844990,0,,F
JPMorgan Fleming Claverhouse,342218,LOAN,L,N,4.938,,65,GBP,,0,0,15000000,15000000,0,,F
JPMorgan Fleming Japanese Smaller Cos,316581,Loan Facility,L,N,0.853,,0,JPY,,4000000000,0,16894239,16894239,0,"4,000,000,000",F
JPMorgan Fleming Mercantile,579403,4.25% PERPETUAL DEBENTURE  STK,D,N,4.25,,50,GBP,,0,3850000,3850000,2752047,0,,F
JPMorgan Fleming Mercantile,579403,100M 6.125% SECURED BOND 2030,D,N,6.125,,50,GBP,25/02/2000,100000000,100000000,98378316,108402329,0,,F
JPMorgan Fleming Mercantile,579403,75M 6.125% SECURED BOND 2030,D,N,6.125,,50,GBP,28/02/2001,75000000,75000000,74384851,82111430,0,,F
JPMorgan Income & Growth,B1G3N00,OVERDRAFT,L,N,,,,GBP,,0,0,24694043,24694043,0,,F
JPMorgan Japanese,174002,OVERDRAFT,L,N,,,,GBP,,0,0,72609909,72609909,0,,F
