file,publication_type,rows_parsed,rows_with_price,rows_with_nav
2016-10_mir_ERR1610.csv,mir,35,35.0,35.0
2016-10_mir_MIR1610.csv,mir,404,202.0,201.0
2016-10_mir_PostMIRErrataAdditional1610.csv,mir,2,2.0,2.0
2016-11_mir_ERR1611.CSV,mir,11,11.0,11.0
2016-11_mir_MIR1611.CSV,mir,402,198.0,197.0
2016-11_mir_PostMIRErrataAdditional1611.csv,mir,23,23.0,23.0
2016-12_mir_ERR1612.csv,mir,27,27.0,27.0
2016-12_mir_MIR1612.CSV,mir,403,198.0,197.0
2016-12_mir_PostMIRErrataAdditional1612.csv,mir,3,3.0,3.0
2017-01_mir_ERR1701.CSV,mir,9,9.0,9.0
2017-01_mir_MIR1701.CSV,mir,405,201.0,200.0
2017-01_mir_PostMIRErrataAdditional1701.csv,mir,21,21.0,21.0
2017-02_mir_ERR1702.CSV,mir,28,28.0,28.0
2017-02_mir_MIR1702.CSV,mir,408,199.0,198.0
2017-02_mir_PostMIRErrataAdditional1702.csv,mir,21,21.0,21.0
2017-03_mir_ERR1703.CSV,mir,55,55.0,55.0
2017-03_mir_MIR1703.CSV,mir,403,197.0,197.0
2017-03_mir_PostMIRErrataAdditional1703.CSV,mir,1,1.0,1.0
2017-04_mir_ERR1704.CSV,mir,11,11.0,11.0
2017-04_mir_MIR1704.CSV,mir,410,195.0,195.0
2017-04_mir_PostMIRErrataAdditional1704.csv,mir,24,24.0,24.0
2017-05_mir_ERR1705.csv,mir,45,45.0,45.0
2017-05_mir_MIR1705.CSV,mir,414,202.0,202.0
2017-05_mir_PostMIRErrataAdditional1705.csv,mir,24,24.0,24.0
2017-06_mir_ERR1706.csv,mir,33,33.0,33.0
2017-06_mir_MIR1706.CSV,mir,411,200.0,200.0
2017-06_mir_PostMIRErrataAdditional1706.csv,mir,25,25.0,25.0
2017-07_mir_ERR1707.CSV,mir,32,32.0,32.0
2017-07_mir_MIR1707.CSV,mir,411,203.0,203.0
2017-07_mir_PostMIRErrataAdditional1707.csv,mir,33,33.0,33.0
2017-08_mir_ERR1708.CSV,mir,40,40.0,40.0
2017-08_mir_MIR1708.CSV,mir,412,203.0,203.0
2017-08_mir_PostMIRErrataAdditional1708.CSV,mir,19,19.0,19.0
2017-09_mir_ERR1709.csv,mir,29,29.0,29.0
2017-09_mir_MIR1709.CSV,mir,411,201.0,201.0
2017-09_mir_PostMIRErrataAdditional1709.csv,mir,2,2.0,2.0
2017-10_mir_ERR1710.CSV,mir,30,30.0,30.0
2017-10_mir_MIR1710.CSV,mir,410,200.0,200.0
2017-10_mir_PostMIRErrataAdditional1710.CSV,mir,7,7.0,7.0
2017-11_mir_ERR1711.CSV,mir,18,18.0,18.0
2017-11_mir_MIR1711.CSV,mir,409,200.0,200.0
2017-11_mir_PostMIRErrataAdditional1711.CSV,mir,3,3.0,3.0
2017-12_mir_ERR1712.CSV,mir,10,10.0,10.0
2017-12_mir_MIR1712.CSV,mir,405,202.0,202.0
2017-12_mir_PostMIRErrataAdditional1712.CSV,mir,1,1.0,1.0
2018-01_mir_ERR1801.CSV,mir,11,11.0,11.0
2018-01_mir_MIR1801.CSV,mir,404,202.0,202.0
2018-02_mir_ERR1802.CSV,mir,32,32.0,32.0
2018-02_mir_ERR1802_0.CSV,mir,24,23.0,23.0
2018-02_mir_MIR1802.CSV,mir,400,198.0,198.0
2018-03_mir_ERR1803.CSV,mir,30,29.0,29.0
2018-03_mir_MIR1803.CSV,mir,406,199.0,199.0
2018-03_mir_PostMIRErrataAdditional1803.csv,mir,8,8.0,7.0
2018-04_mir_ERR1804.CSV,mir,15,15.0,15.0
2018-04_mir_MIR1804.csv,mir,406,201.0,202.0
2018-04_mir_PostMIRErrataAdditional1804.csv,mir,25,25.0,25.0
2018-05_mir_ERR1805.CSV,mir,34,34.0,34.0
2018-05_mir_MIR1805.CSV,mir,410,202.0,202.0
