ticker,name,sector,is_vct,nav_route,currency,price_days,price_first,price_last,nav_first,nav_last,discount_days,fresh_days,median_nav_age,median_discount,last_discount,price_ccy,price_unit_status,nav_history_source,nav_frequency,median_gap_days,nav_obs
EWI,Edinburgh Worldwide,Global Smaller Companies,False,registry,GBX,4985,2007-01-02,2026-09-23,2007-01-02,2026-09-22,4985,4985,0.0,-0.09316499961795599,-0.06287991354856137,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4984.0
FA14,Fair Oaks Income 2014,Sector Specialist: Debt,False,announcements_only,,0,,,,,0,0,,,,,,,,,
FAIC,Fair Oaks Income C shares,Sector Specialist: Debt,False,announcements_only,,0,,,,,0,0,,,,,,,,,
FAIR,Fair Oaks Income 2021,Debt - Structured Finance,False,announcements_only,USD,3105,2014-06-12,2026-09-23,2014-08-13,2022-05-31,0,0,308.0,,,EUR,currency_mismatch,committed,adhoc,365.0,8.0
FAS,Fidelity Asian Values,Asia Pacific Smaller Companies,False,registry,GBX,4985,2007-01-02,2026-09-23,2007-01-02,2026-09-22,4985,4230,0.0,-0.08954984781331776,-0.0450584090487669,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4206.0
FCIF,SME Credit Realisation Fund,Debt - Direct Lending,False,registry,GBX,0,,,,,0,0,,,,,,,,,
FCIT,F&C Investment Trust,Global,False,registry,GBX,4985,2007-01-02,2026-09-23,2018-08-01,2026-09-22,2058,2058,0.0,-0.07401133294459455,-0.08918008296447388,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2058.0
FCO,Forest Company,Forestry & Timber,False,announcements_only,GBX,0,,,,,0,0,,,,,,,,,
FCSS,Fidelity China Special Situations,China / Greater China,False,registry,GBX,4152,2010-04-19,2026-09-23,2010-04-19,2026-09-22,4152,4152,0.0,-0.09076393750358214,-0.06740299162491314,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4136.0
FEET,Fundsmith Emerging Equities,Global Emerging Markets,False,registry,GBX,0,,,,,0,0,,,,,,,,,
FEML,Fidelity Emerging Markets,Global Emerging Markets,False,registry,GBX,4985,2007-01-02,2026-09-23,2009-11-12,2026-09-21,4259,4129,1.0,-0.1060677928996242,-0.06252698318716166,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,3241.0
FEV,Fidelity European Trust,Europe,False,registry,GBX,4985,2007-01-02,2026-09-23,2007-01-02,2026-09-22,4985,4985,0.0,-0.08468418110676357,-0.04575867798284605,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4965.0
FFWD,Fastforward Innovations,Private Equity,False,announcements_only,,0,,,,,0,0,,,,,,,,,
FGEN,Foresight Environmental Infrastructure,Renewable Energy Infrastructure,False,announcements_only,GBX,3154,2014-03-31,2026-09-23,2014-12-31,2026-06-30,2937,2937,108.0,0.05810928013876837,-0.1595033428844317,GBp,ok,committed+s3_archive+s3_snapshot,quarterly,91.0,34.0
FGT,Finsbury Growth & Income Trust,UK Equity Income,False,registry,GBX,4985,2007-01-02,2026-09-23,2006-12-29,2026-09-21,4985,4772,1.0,-0.005842074103861616,-0.07972215366171864,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4694.0
FJV,Fidelity Japan Trust,Japan,False,registry,GBX,0,,,,,0,0,,,,,,,daily,1.0,4333.0
FPEO,F&C Private Equity,Split Capital Trust,False,announcements_only,,2983,2007-01-03,2018-11-12,,,0,0,,,,GBp,assumed_from_currency,,,,
FRGT,Franklin Global Trust,Global,False,registry,GBX,0,,,,,0,0,,,,,,,daily,1.0,4203.0
FSFL,Foresight Solar Fund,Renewable Energy Infrastructure,False,announcements_only,GBX,3260,2013-10-29,2026-09-23,2014-06-30,2026-06-30,3085,2972,100.0,0.00849256900212314,-0.2560590255624754,GBp,ok,committed+s3_archive+s3_snapshot,quarterly,94.0,38.0
FSV,Fidelity Special Values,UK All Companies,False,registry,GBX,4985,2007-01-02,2026-09-23,2007-01-02,2026-09-22,4985,4985,0.0,-0.06175251672813187,-0.023748381756828474,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,4971.0
FTD,Foresight 3 VCT,VCT Generalist,True,announcements_only,,0,,,,,0,0,,,,,,,,,
FTF,Foresight Enterprise VCT,VCT,True,announcements_only,GBX,4984,2007-01-02,2026-09-22,2025-03-31,2026-03-31,327,327,149.0,-0.09543571630454173,-0.11618260427134663,GBp,ok,committed,semiannual,183.0,3.0
FTFC,Foresight 4 VCT C shares,VCT Generalist,True,announcements_only,,0,,,,,0,0,,,,,,,,,
FTN,Foresight 2 VCT,VCT Generalist,True,announcements_only,,0,,,,,0,0,,,,,,,,,
